GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US17031804102,17031804102,"Census Tract 8041.02, Cook County, Illinois",6941,246,6639,253,5536,258,61,29,0,15,961,115,0,15,0,15,81,73,0,15,81,73,302,167,293,166,0,15,0,15,0,15,0,15,9,19,0,15,0,15,0,15
1400000US17031804104,17031804104,"Census Tract 8041.04, Cook County, Illinois",4899,224,4565,253,3046,228,122,90,0,11,1247,171,0,11,0,11,150,93,0,11,150,93,334,187,287,177,8,12,0,11,14,20,0,11,25,36,0,11,0,11,0,11
1400000US17031804105,17031804105,"Census Tract 8041.05, Cook County, Illinois",4088,237,3986,248,3314,232,43,60,0,11,512,107,0,11,0,11,117,76,9,15,108,68,102,75,102,75,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US17031804106,17031804106,"Census Tract 8041.06, Cook County, Illinois",7179,372,6705,441,4728,371,73,105,0,15,1682,193,0,15,0,15,222,145,0,15,222,145,474,220,326,184,0,15,14,23,0,15,0,15,134,124,0,15,0,15,0,15
1400000US17031804108,17031804108,"Census Tract 8041.08, Cook County, Illinois",4050,168,3654,221,1384,214,239,151,0,11,1854,269,13,21,34,53,130,106,47,40,83,94,396,203,153,91,0,11,12,17,17,28,0,11,179,186,35,26,8,12,27,23
1400000US17031804109,17031804109,"Census Tract 8041.09, Cook County, Illinois",2915,233,2637,263,2056,258,134,98,0,11,286,147,0,11,0,11,161,100,7,11,154,100,278,135,195,127,0,11,0,11,0,11,0,11,52,59,31,25,20,16,11,19
1400000US17031804201,17031804201,"Census Tract 8042.01, Cook County, Illinois",8601,422,8196,501,6025,492,66,30,0,15,2105,403,0,15,0,15,0,15,0,15,0,15,405,293,159,116,0,15,0,15,16,26,0,15,196,246,34,39,0,15,34,39
1400000US17031804202,17031804202,"Census Tract 8042.02, Cook County, Illinois",7440,423,6793,366,5379,368,17,27,0,15,1325,168,0,15,0,15,72,72,0,15,72,72,647,195,363,326,0,15,0,15,0,15,0,15,271,338,13,20,13,20,0,15
1400000US17031804305,17031804305,"Census Tract 8043.05, Cook County, Illinois",7612,430,4676,396,3627,380,449,328,0,15,550,120,0,15,0,15,50,55,0,15,50,55,2936,345,970,393,17,28,64,99,0,15,0,15,1767,511,118,120,47,73,71,88
1400000US17031804306,17031804306,"Census Tract 8043.06, Cook County, Illinois",5589,433,3059,362,2795,390,42,39,0,15,118,96,0,15,0,15,104,86,40,60,64,64,2530,347,713,251,0,15,51,80,0,15,0,15,1668,385,98,104,58,59,40,64
1400000US17031804308,17031804308,"Census Tract 8043.08, Cook County, Illinois",5603,561,4509,541,2876,417,488,365,0,15,1010,289,0,15,0,15,135,104,0,15,135,104,1094,387,350,293,0,15,0,15,0,15,0,15,684,298,60,52,60,52,0,15
1400000US17031804309,17031804309,"Census Tract 8043.09, Cook County, Illinois",3162,213,1750,152,1240,152,181,152,0,11,265,72,0,11,0,11,64,45,32,42,32,22,1412,183,542,203,0,11,0,11,0,11,0,11,710,265,160,148,160,148,0,11
1400000US17031804310,17031804310,"Census Tract 8043.10, Cook County, Illinois",9036,501,7017,447,5063,272,168,138,83,103,1658,274,0,15,0,15,45,58,0,15,45,58,2019,476,1214,563,0,15,0,15,43,68,0,15,609,498,153,169,153,169,0,15
1400000US17031804311,17031804311,"Census Tract 8043.11, Cook County, Illinois",8540,713,6526,603,3837,660,82,112,0,15,2528,543,0,15,0,15,79,74,0,15,79,74,2014,679,897,702,0,15,140,223,0,15,0,15,968,449,9,16,9,16,0,15
1400000US17031804403,17031804403,"Census Tract 8044.03, Cook County, Illinois",6882,492,4078,474,2978,434,216,133,0,15,711,299,8,12,0,15,165,184,138,197,27,36,2804,540,1515,540,152,186,263,260,19,33,0,15,794,484,61,70,0,15,61,70
1400000US17031804404,17031804404,"Census Tract 8044.04, Cook County, Illinois",5392,494,1982,229,1354,193,117,74,0,15,483,82,0,15,0,15,28,41,0,15,28,41,3410,513,1538,599,0,15,0,15,0,15,0,15,1762,459,110,83,72,72,38,62
1400000US17031804405,17031804405,"Census Tract 8044.05, Cook County, Illinois",3286,386,1350,240,547,145,302,185,0,11,250,134,0,11,163,229,88,131,0,11,88,131,1936,341,871,384,0,11,51,82,41,50,0,11,890,364,83,127,76,127,7,12
1400000US17031804406,17031804406,"Census Tract 8044.06, Cook County, Illinois",6685,482,3043,344,2071,259,172,148,0,15,760,249,0,15,17,27,23,36,0,15,23,36,3642,442,1253,445,0,15,9,15,10,15,0,15,2340,544,30,34,16,25,14,22
1400000US17031804505,17031804505,"Census Tract 8045.05, Cook County, Illinois",3391,376,2821,287,2507,262,151,179,12,17,99,58,0,11,0,11,52,56,10,15,42,45,570,224,328,185,0,11,0,11,0,11,0,11,242,230,0,11,0,11,0,11
1400000US17031804506,17031804506,"Census Tract 8045.06, Cook County, Illinois",5151,266,4693,243,3752,235,38,40,16,26,757,225,0,15,0,15,130,94,8,11,122,94,458,132,333,129,0,15,11,17,20,32,0,15,94,89,0,15,0,15,0,15
1400000US17031804507,17031804507,"Census Tract 8045.07, Cook County, Illinois",12596,836,11177,1036,7074,799,220,65,0,17,3459,941,0,17,152,243,272,198,125,134,147,149,1419,681,778,355,0,17,21,36,0,17,0,17,178,155,442,511,442,511,0,17
1400000US17031804508,17031804508,"Census Tract 8045.08, Cook County, Illinois",2439,316,1552,270,869,248,272,122,0,11,366,150,0,11,4,7,41,48,0,11,41,48,887,340,354,172,0,11,11,17,0,11,0,11,522,360,0,11,0,11,0,11
1400000US17031804509,17031804509,"Census Tract 8045.09, Cook County, Illinois",6329,431,2934,231,1834,253,168,150,0,15,614,147,0,15,0,15,318,198,76,106,242,173,3395,325,1149,486,0,15,37,63,0,15,0,15,2186,477,23,39,0,15,23,39
1400000US17031804510,17031804510,"Census Tract 8045.10, Cook County, Illinois",6639,362,1804,362,1249,222,321,287,0,15,160,109,0,15,30,41,44,35,9,13,35,33,4835,444,1424,500,0,15,5,10,0,15,0,15,3357,581,49,77,49,77,0,15
1400000US17031804511,17031804511,"Census Tract 8045.11, Cook County, Illinois",2742,240,1107,162,532,165,261,165,0,11,310,116,0,11,4,7,0,11,0,11,0,11,1635,250,579,197,0,11,28,43,0,11,0,11,1028,276,0,11,0,11,0,11
1400000US17031804603,17031804603,"Census Tract 8046.03, Cook County, Illinois",6016,734,4506,586,2630,591,253,149,0,15,1573,388,0,15,0,15,50,64,39,62,11,18,1510,788,183,166,0,15,0,15,0,15,0,15,1290,797,37,58,33,56,4,11
1400000US17031804606,17031804606,"Census Tract 8046.06, Cook County, Illinois",7264,432,6683,455,5367,466,85,73,0,15,1087,195,0,15,0,15,144,137,0,15,144,137,581,284,322,158,0,15,0,15,0,15,0,15,198,298,61,81,61,81,0,15
1400000US17031804607,17031804607,"Census Tract 8046.07, Cook County, Illinois",6846,368,6464,440,4835,592,146,118,0,15,1280,634,0,15,0,15,203,182,41,73,162,163,382,242,157,159,0,15,0,15,0,15,0,15,135,155,90,140,90,140,0,15
