GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017
Id,Id2,Geography,Total:,Not Hispanic or Latino:,Not Hispanic or Latino: - White alone,Not Hispanic or Latino: - Black or African American alone,Not Hispanic or Latino: - American Indian and Alaska Native alone,Not Hispanic or Latino: - Asian alone,Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino: - Some Other Race alone,Not Hispanic or Latino: - Two or More Races,Hispanic or Latino:,Hispanic or Latino: - White alone,Hispanic or Latino: - Black or African American alone,Hispanic or Latino: - American Indian and Alaska Native alone,Hispanic or Latino: - Asian alone,Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino: - Some Other Race alone,Hispanic or Latino: - Two or More Races
1580000US1714000031051400,1714000031051400,"Census Tract 514, Cook County (part), Chicago city, Illinois",2077,1661,1344,167,11,99,1,4,35,416,174,25,4,7,0,181,25
1580000US1714000031060100,1714000031060100,"Census Tract 601, Cook County (part), Chicago city, Illinois",2569,2257,2053,64,1,75,3,6,55,312,183,13,2,1,0,94,19
1580000US1714000031060200,1714000031060200,"Census Tract 602, Cook County (part), Chicago city, Illinois",2111,1714,1490,82,2,86,0,3,51,397,145,3,7,3,0,209,30
1580000US1714000031060300,1714000031060300,"Census Tract 603, Cook County (part), Chicago city, Illinois",2839,2561,2314,45,3,149,1,6,43,278,195,4,5,4,0,64,6
1580000US1714000031060400,1714000031060400,"Census Tract 604, Cook County (part), Chicago city, Illinois",3370,3066,2831,48,4,129,4,9,41,304,205,3,1,1,0,83,11
1580000US1714000031060500,1714000031060500,"Census Tract 605, Cook County (part), Chicago city, Illinois",1309,1156,910,80,3,143,1,2,17,153,91,0,0,0,0,50,12
1580000US1714000031060800,1714000031060800,"Census Tract 608 (part), Cook County (part), Chicago city, Illinois",4837,4448,3502,310,7,515,5,10,99,389,214,15,0,7,0,115,38
1580000US1714000031060900,1714000031060900,"Census Tract 609 (part), Cook County (part), Chicago city, Illinois",6867,6222,5047,554,11,485,4,12,109,645,374,25,5,2,2,202,35
1580000US1714000031061000,1714000031061000,"Census Tract 610, Cook County (part), Chicago city, Illinois",1647,1542,1415,29,6,54,0,5,33,105,66,1,2,2,0,29,5
1580000US1714000031061100,1714000031061100,"Census Tract 611, Cook County (part), Chicago city, Illinois",1379,1313,1226,18,4,46,0,0,19,66,50,0,1,0,0,12,3
1580000US1714000031061200,1714000031061200,"Census Tract 612, Cook County (part), Chicago city, Illinois",1889,1772,1635,29,2,68,0,0,38,117,73,0,2,0,0,37,5
1580000US1714000031061500,1714000031061500,"Census Tract 615, Cook County (part), Chicago city, Illinois",1707,1610,1496,22,0,70,0,1,21,97,66,0,3,1,0,22,5
1580000US1714000031061800,1714000031061800,"Census Tract 618, Cook County (part), Chicago city, Illinois",1112,1018,835,76,2,79,1,2,23,94,54,2,3,1,0,28,6
1580000US1714000031061901,1714000031061901,"Census Tract 619.01, Cook County (part), Chicago city, Illinois",3433,3157,2627,174,3,291,0,5,57,276,184,12,2,4,0,51,23
1580000US1714000031061902,1714000031061902,"Census Tract 619.02 (part), Cook County (part), Chicago city, Illinois",4240,3976,3444,151,3,288,2,3,85,264,172,7,4,4,0,57,20
1580000US1714000031062000,1714000031062000,"Census Tract 620, Cook County (part), Chicago city, Illinois",2569,2401,2126,74,1,141,0,5,54,168,125,1,1,4,0,36,1
1580000US1714000031062100,1714000031062100,"Census Tract 621, Cook County (part), Chicago city, Illinois",3436,3194,2793,91,2,245,1,3,59,242,156,7,1,2,1,49,26
1580000US1714000031062200,1714000031062200,"Census Tract 622, Cook County (part), Chicago city, Illinois",2870,2725,2472,44,2,157,0,0,50,145,88,3,4,0,0,46,4
1580000US1714000031062300,1714000031062300,"Census Tract 623, Cook County (part), Chicago city, Illinois",1513,1432,1319,31,0,57,0,0,25,81,70,0,0,0,0,8,3
1580000US1714000031062400,1714000031062400,"Census Tract 624, Cook County (part), Chicago city, Illinois",1421,1337,1239,20,3,48,0,6,21,84,67,0,0,1,0,12,4
1580000US1714000031062500,1714000031062500,"Census Tract 625, Cook County (part), Chicago city, Illinois",1497,1360,1210,57,2,57,1,1,32,137,76,2,5,1,0,50,3
1580000US1714000031062600,1714000031062600,"Census Tract 626, Cook County (part), Chicago city, Illinois",2226,2042,1791,31,1,154,0,3,62,184,134,1,1,3,0,36,9
1580000US1714000031062700,1714000031062700,"Census Tract 627, Cook County (part), Chicago city, Illinois",2724,2495,2275,53,10,102,0,7,48,229,125,4,0,4,1,77,18
1580000US1714000031062800,1714000031062800,"Census Tract 628, Cook County (part), Chicago city, Illinois",3506,3289,3052,57,2,129,0,4,45,217,136,6,1,2,0,59,13
1580000US1714000031062900,1714000031062900,"Census Tract 629, Cook County (part), Chicago city, Illinois",3976,3753,3437,81,2,158,0,2,73,223,147,3,3,2,0,57,11
1580000US1714000031063000,1714000031063000,"Census Tract 630, Cook County (part), Chicago city, Illinois",2973,2760,2386,78,3,237,3,5,48,213,150,6,1,2,0,41,13
1580000US1714000031063100,1714000031063100,"Census Tract 631, Cook County (part), Chicago city, Illinois",2173,2048,1817,43,5,121,3,9,50,125,66,2,2,1,1,42,11
1580000US1714000031063200,1714000031063200,"Census Tract 632 (part), Cook County (part), Chicago city, Illinois",6345,5916,5032,253,6,485,2,12,126,429,294,4,12,7,0,84,28
1580000US1714000031063301,1714000031063301,"Census Tract 633.01, Cook County (part), Chicago city, Illinois",2641,2476,1993,174,2,248,2,4,53,165,103,2,0,3,0,40,17
1580000US1714000031063302,1714000031063302,"Census Tract 633.02, Cook County (part), Chicago city, Illinois",3996,3767,3215,120,7,333,4,7,81,229,165,4,3,1,0,43,13
1580000US1714000031063303,1714000031063303,"Census Tract 633.03, Cook County (part), Chicago city, Illinois",1201,1173,1055,14,1,84,0,2,17,28,18,3,0,0,0,6,1
1580000US1714000031063400,1714000031063400,"Census Tract 634, Cook County (part), Chicago city, Illinois",2180,2035,1770,90,5,110,5,4,51,145,104,0,0,1,0,25,15
1580000US1714000031070101,1714000031070101,"Census Tract 701.01 (part), Cook County (part), Chicago city, Illinois",3796,3636,3219,76,2,259,1,2,77,160,102,1,2,4,0,38,13
1580000US1714000031070102,1714000031070102,"Census Tract 701.02, Cook County (part), Chicago city, Illinois",2413,2263,1969,66,1,182,0,1,44,150,94,1,1,0,1,44,9
1580000US1714000031070103,1714000031070103,"Census Tract 701.03, Cook County (part), Chicago city, Illinois",1709,1616,1345,55,4,173,0,1,38,93,67,0,3,0,0,18,5
1580000US1714000031070200,1714000031070200,"Census Tract 702, Cook County (part), Chicago city, Illinois",3900,3709,3211,131,5,275,0,9,78,191,116,1,6,2,0,53,13
1580000US1714000031070300,1714000031070300,"Census Tract 703, Cook County (part), Chicago city, Illinois",3367,3197,2899,51,3,164,1,3,76,170,126,2,1,2,0,26,13
1580000US1714000031070400,1714000031070400,"Census Tract 704, Cook County (part), Chicago city, Illinois",2984,2787,2510,100,1,124,1,5,46,197,136,9,1,0,0,35,16
1580000US1714000031070500,1714000031070500,"Census Tract 705, Cook County (part), Chicago city, Illinois",2928,2777,2530,97,2,97,0,5,46,151,117,0,0,3,2,20,9
1580000US1714000031070600,1714000031070600,"Census Tract 706, Cook County (part), Chicago city, Illinois",2981,2757,2511,28,0,148,0,7,63,224,119,2,8,2,0,74,19
1580000US1714000031070700,1714000031070700,"Census Tract 707, Cook County (part), Chicago city, Illinois",3481,3078,2559,200,7,239,0,9,64,403,207,12,3,4,0,157,20
1580000US1714000031071000,1714000031071000,"Census Tract 710, Cook County (part), Chicago city, Illinois",4442,4145,3652,206,3,194,1,10,79,297,157,8,0,1,1,111,19
1580000US1714000031071100,1714000031071100,"Census Tract 711, Cook County (part), Chicago city, Illinois",2944,2766,2479,89,6,139,0,11,42,178,111,4,4,2,0,50,7
1580000US1714000031071200,1714000031071200,"Census Tract 712, Cook County (part), Chicago city, Illinois",1906,1790,1594,64,1,88,0,2,41,116,85,0,0,2,0,20,9
1580000US1714000031071300,1714000031071300,"Census Tract 713, Cook County (part), Chicago city, Illinois",3513,3384,3066,53,2,203,0,10,50,129,82,1,1,1,0,35,9
1580000US1714000031071400,1714000031071400,"Census Tract 714 (part), Cook County (part), Chicago city, Illinois",4570,4356,3716,255,4,281,1,13,86,214,172,5,0,0,0,21,16
1580000US1714000031071500,1714000031071500,"Census Tract 715 (part), Cook County (part), Chicago city, Illinois",5768,5532,4914,271,4,244,10,6,83,236,186,11,4,1,0,19,15
1580000US1714000031071600,1714000031071600,"Census Tract 716, Cook County (part), Chicago city, Illinois",1783,1700,1488,97,3,69,0,2,41,83,55,4,0,0,1,18,5
1580000US1714000031071700,1714000031071700,"Census Tract 717, Cook County (part), Chicago city, Illinois",1652,1577,1279,183,0,64,0,4,47,75,51,12,3,0,0,6,3
1580000US1714000031071800,1714000031071800,"Census Tract 718, Cook County (part), Chicago city, Illinois",2646,2539,1975,410,2,98,0,4,50,107,76,6,0,0,6,12,7
1580000US1714000031080100,1714000031080100,"Census Tract 801, Cook County (part), Chicago city, Illinois",6013,5782,5289,142,3,272,0,7,69,231,159,8,1,3,0,40,20
1580000US1714000031080201,1714000031080201,"Census Tract 802.01, Cook County (part), Chicago city, Illinois",3287,3170,2864,105,2,144,0,15,40,117,77,4,0,0,0,24,12
1580000US1714000031080202,1714000031080202,"Census Tract 802.02, Cook County (part), Chicago city, Illinois",3498,3340,2994,76,2,214,0,7,47,158,118,3,2,1,0,22,12
1580000US1714000031080300,1714000031080300,"Census Tract 803, Cook County (part), Chicago city, Illinois",4315,4123,3453,264,3,322,2,9,70,192,137,2,2,5,0,30,16
1580000US1714000031080400,1714000031080400,"Census Tract 804, Cook County (part), Chicago city, Illinois",4317,4200,1493,2543,3,94,1,8,58,117,52,25,1,0,0,21,18
